               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088185,            0.024019,            0.076853,                   0,                   0,                   0,                   0,            0.056746,            0.015424,            0.062288,              0.0703,              0.0033,              0.0033
                   1,             0.06589,             0.02699,            0.075227,             0.45408,              0.0275,            0.019972,           0.0037676,             0.05342,            0.017368,            0.060699,            0.040289,           0.0066224,           0.0066224
                   2,            0.055092,             0.02458,            0.071371,             0.18548,              0.0925,             0.06333,            0.022539,            0.053859,            0.015791,            0.053802,            0.010267,           0.0099338,           0.0099338
                   3,            0.051143,            0.020557,            0.064596,             0.12979,             0.53688,             0.28767,             0.12065,            0.040015,            0.015729,            0.042283,           0.0099505,           0.0099505,           0.0099505
                   4,            0.045201,            0.017536,            0.056663,             0.72202,              0.5124,             0.67196,             0.31418,            0.031568,           0.0077028,            0.033664,           0.0099505,           0.0099505,           0.0099505
                   5,            0.043375,             0.01548,            0.049004,             0.50398,             0.55237,             0.63188,             0.38977,             0.03238,           0.0079117,            0.032059,            0.009934,            0.009934,            0.009934
                   6,            0.041977,            0.014591,            0.041886,             0.70721,              0.7124,             0.83344,             0.45294,            0.028886,           0.0060566,            0.021884,           0.0099175,           0.0099175,           0.0099175
                   7,            0.041509,            0.013882,            0.035699,             0.73233,             0.89263,             0.88438,             0.53412,            0.026539,           0.0054656,            0.017631,            0.009901,            0.009901,            0.009901
                   8,            0.039623,            0.013164,            0.029818,             0.80743,             0.89584,             0.95573,               0.599,            0.024438,           0.0056421,            0.014235,           0.0098845,           0.0098845,           0.0098845
                   9,            0.039816,              0.0127,            0.025614,             0.74472,             0.93245,             0.94031,             0.57554,            0.025555,           0.0057069,            0.011679,            0.009868,            0.009868,            0.009868
                  10,            0.038722,            0.012514,            0.022153,             0.86245,             0.98568,             0.96771,             0.59392,            0.024023,           0.0053626,           0.0097186,           0.0098515,           0.0098515,           0.0098515
                  11,            0.037493,            0.012085,            0.019042,             0.93819,             0.34944,             0.42603,             0.20082,            0.053741,            0.010034,             0.02903,            0.009835,            0.009835,            0.009835
                  12,            0.036978,            0.011662,            0.016256,             0.83921,             0.87187,             0.90821,             0.52138,             0.03014,           0.0062896,            0.011018,           0.0098185,           0.0098185,           0.0098185
                  13,            0.036302,            0.011512,            0.013673,             0.96062,              0.9899,             0.99157,             0.67933,            0.020944,           0.0052223,           0.0069474,            0.009802,            0.009802,            0.009802
                  14,            0.035474,             0.01104,            0.012962,             0.96993,             0.99533,             0.99393,             0.65472,            0.024199,           0.0050198,           0.0047349,           0.0097855,           0.0097855,           0.0097855
                  15,            0.035937,            0.011053,            0.011057,             0.95189,             0.99322,             0.99442,             0.63786,            0.021936,            0.004929,           0.0034643,            0.009769,            0.009769,            0.009769
                  16,            0.034729,            0.010979,            0.010668,             0.66792,             0.38741,             0.42703,              0.2213,            0.050333,             0.01801,            0.040164,           0.0097525,           0.0097525,           0.0097525
                  17,             0.03363,            0.010855,           0.0092948,             0.80803,             0.27962,             0.26604,             0.11411,            0.062199,            0.013961,            0.040754,            0.009736,            0.009736,            0.009736
                  18,            0.033392,            0.010472,            0.008657,             0.93607,             0.98052,             0.99376,             0.71132,            0.020499,           0.0046976,           0.0049788,           0.0097195,           0.0097195,           0.0097195
                  19,             0.03291,            0.010403,            0.008475,             0.98312,             0.99702,               0.995,              0.7058,            0.018794,           0.0047727,           0.0036098,            0.009703,            0.009703,            0.009703
                  20,            0.032454,            0.010045,           0.0080931,             0.97321,             0.99726,             0.99255,             0.65114,             0.02427,           0.0051105,           0.0034314,           0.0096865,           0.0096865,           0.0096865
                  21,            0.031898,            0.009998,           0.0075924,             0.98319,             0.98911,               0.995,             0.75318,            0.017771,           0.0048354,           0.0031304,             0.00967,             0.00967,             0.00967
                  22,            0.031183,           0.0098065,           0.0073813,             0.98899,             0.99807,               0.995,             0.73213,            0.019027,           0.0043958,           0.0027239,           0.0096535,           0.0096535,           0.0096535
                  23,            0.031091,           0.0097809,            0.007296,             0.98294,              0.9674,               0.995,             0.70827,            0.019997,           0.0045027,           0.0029694,            0.009637,            0.009637,            0.009637
                  24,            0.030814,            0.010081,           0.0068074,             0.99326,              0.9973,               0.995,             0.74047,            0.018305,           0.0043453,           0.0024148,           0.0096205,           0.0096205,           0.0096205
                  25,             0.02983,           0.0096263,            0.006322,             0.93732,             0.88773,             0.99275,             0.68083,            0.022463,           0.0061283,           0.0041588,            0.009604,            0.009604,            0.009604
                  26,            0.029367,           0.0095966,           0.0061095,             0.94908,             0.94257,             0.99231,             0.70244,            0.020579,           0.0050625,           0.0063199,           0.0095875,           0.0095875,           0.0095875
                  27,            0.030026,           0.0094246,           0.0059825,             0.99033,             0.99802,               0.995,               0.759,            0.015327,           0.0041249,           0.0026793,            0.009571,            0.009571,            0.009571
                  28,            0.028369,           0.0093609,           0.0058216,             0.98777,              0.9983,               0.995,             0.74463,            0.017416,           0.0045469,           0.0026664,           0.0095545,           0.0095545,           0.0095545
                  29,            0.028567,           0.0092341,           0.0059149,                0.99,                   1,               0.995,             0.73289,            0.018807,           0.0047686,           0.0026313,            0.009538,            0.009538,            0.009538
                  30,            0.029423,           0.0094042,           0.0052521,             0.97006,             0.99555,               0.995,             0.75492,            0.016761,           0.0042937,           0.0025791,           0.0095215,           0.0095215,           0.0095215
                  31,            0.027678,           0.0089976,           0.0051505,             0.97354,                   1,               0.995,             0.76457,             0.01699,           0.0039053,           0.0017791,            0.009505,            0.009505,            0.009505
                  32,            0.027046,            0.008972,           0.0051149,             0.99433,             0.99735,               0.995,             0.74002,            0.017287,           0.0041187,           0.0016427,           0.0094885,           0.0094885,           0.0094885
                  33,            0.028108,           0.0087848,           0.0049176,             0.98757,              0.9975,             0.99488,             0.75014,            0.018681,           0.0042721,            0.002194,            0.009472,            0.009472,            0.009472
                  34,            0.026821,             0.00868,           0.0047253,             0.98695,             0.99604,               0.995,             0.78781,            0.015228,           0.0038559,           0.0019007,           0.0094555,           0.0094555,           0.0094555
                  35,            0.026612,           0.0088612,           0.0048903,             0.99296,                   1,               0.995,             0.78912,            0.015259,           0.0038963,           0.0018309,            0.009439,            0.009439,            0.009439
                  36,            0.026249,           0.0090207,           0.0047293,             0.99332,                   1,               0.995,             0.79962,            0.014535,           0.0037456,           0.0017011,           0.0094225,           0.0094225,           0.0094225
                  37,            0.025897,           0.0089462,           0.0045129,             0.97837,                   1,               0.995,             0.79233,            0.014785,           0.0038513,           0.0022524,            0.009406,            0.009406,            0.009406
                  38,             0.02585,           0.0088458,           0.0049218,             0.95445,             0.98174,             0.99157,             0.72165,            0.018737,           0.0048945,           0.0037281,           0.0093895,           0.0093895,           0.0093895
                  39,            0.025949,            0.008693,           0.0046867,             0.99536,             0.99943,               0.995,             0.79719,            0.015882,           0.0038352,           0.0016608,            0.009373,            0.009373,            0.009373
                  40,            0.025915,            0.008612,           0.0044464,             0.99501,                   1,               0.995,             0.78567,             0.01398,            0.003694,           0.0017387,           0.0093565,           0.0093565,           0.0093565
                  41,             0.02454,           0.0085898,           0.0042769,             0.99266,             0.99973,               0.995,             0.79577,            0.013872,           0.0038511,           0.0016243,             0.00934,             0.00934,             0.00934
                  42,            0.025378,           0.0085533,           0.0045822,             0.99372,             0.99835,               0.995,             0.78097,            0.014823,           0.0037985,            0.001686,           0.0093235,           0.0093235,           0.0093235
                  43,            0.024712,           0.0083032,           0.0038998,             0.99333,                   1,               0.995,             0.80612,            0.013455,           0.0037051,           0.0016419,            0.009307,            0.009307,            0.009307
                  44,            0.025054,           0.0084041,           0.0036116,             0.99521,             0.99856,               0.995,             0.83429,            0.012686,           0.0035836,           0.0016129,           0.0092905,           0.0092905,           0.0092905
                  45,            0.024356,           0.0081843,           0.0036652,             0.99441,              0.9989,               0.995,             0.81494,            0.014349,           0.0036384,           0.0016293,            0.009274,            0.009274,            0.009274
                  46,            0.024469,           0.0079958,           0.0036203,             0.99499,                   1,               0.995,             0.82887,            0.012488,           0.0035305,           0.0015081,           0.0092575,           0.0092575,           0.0092575
                  47,            0.024411,            0.007898,           0.0039971,             0.99491,                   1,               0.995,             0.81487,            0.013546,           0.0035291,           0.0015087,            0.009241,            0.009241,            0.009241
                  48,            0.024166,           0.0082288,            0.003873,             0.99277,                   1,               0.995,             0.80354,            0.013817,           0.0035729,           0.0016007,           0.0092245,           0.0092245,           0.0092245
